Quel champignon n-existe pas ? ,A Le bolet de celeri ,B La trompette-de-la-mort ,C La barbe-de-bouc ,a
L-art de cultiver les bonsaïs (ou arbres nains) est originaire : ,A d-Afrique ,B d-Indonesie ,C du Japon ,b
Comment appelle-t-on une grande pierre dressee ? ,A Un menhir ,B Un grohir ,C Un lourhir ,c
Qu-est-ce qui doit arriver sur le stigmate pour que la fleur se reproduise ? ,A Le pollen ,B L-amidon ,C La farine ,a
D-un iceberg flottant dans les regions polaires on ne voit en fait : ,A qu-un cinquieme ,B qu-un tiers ,C que la moitie ,b
Combien de kilos de raisin faut-il pour faire 50 litres de vin ? ,A 100 kg ,B 50 kg ,C 250 kg ,c
Le baobab est un des plus grands arbres du monde. Cet arbre est aussi appele : ,A arbre-mammouth ,B arbre a pain de singe ,C arbre geant ,a
Lorsqu-un volcan se dechaine on parle : ,A d-erosion ,B d-eruption ,C d-equation ,b
Qu-est-ce qu-une meteorite ? ,A Une pierre dans l-espace ,B Une boule de gaz ,C Une accumulation de ,c
Les bananes poussent : ,A courbees vers le haut ,B courbees vers le bas ,C droites elles se courbent apres la 63,a
 La figue est un fruit qui peut se manger frais ou seche. La fecondation de ce fruit est rendue possible par : ,A les guêpes ,B le vent ,C les papillons ,b
Les pousses de bambou sont un regal pour : ,A le panda geant ,B le koala ,C le raton laveur ,c
Qu-est-ce qu-un jet-stream ? ,A Un vent tres puissant a haute altitude ,B Un tourbillon ,C Un avion supersonique ,a
De la quantite totale d-eau sur Terre plus de 97 % est : ,A de l-eau pure ,B de l-eau salee ,C de l-eau douce ,b
Le kiwi est un fruit mais il existe aussi un animal qui porte ce nom : ,A un papillon ,B un oiseau ,C un poisson ,c
Qu-arrive-t-il aux pierres qui restent des annees dans une riviere ? ,A Elles sont arrondies. ,B Elles sont plus dures. ,C Elles perdent leur couleur. ,a
nature ,,,,b
debut niveau 2
